Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date,Nationality,Dead Weight,LRN
KNUD REFFER,KNU,FREIGHTER,20195,164.33,24,10,14406,6673,NASSAU,01/12/2011 00:00,BAHAMAS,16950,8903167
KUPER,KUPER,FREIGHTER,507300,89.25,13.3,,2891,,,,,,
L'AUSTRAL,L'AUSTRAL,CRUISE,202362,142.1,18,4.7,10944,,MATA UTU,,FRENCH,1441,9502518
LADY ROSE,LAD,FREIGHTER,28813,143,22,9,9576,5562,PANAMA,01/09/2009 00:00,PANAMA,10630,9355032
LAFJELL,LAF,FREIGHTER,563504,89.25,13.3,6.12,2891,,FLEKKEFJORD ,,NORWAY ,,
LAS PALMAS,LAS,FREIGHTER,28813,127.96,20,7,7360,3085,MADEIRA,23/07/2001 00:00,PORTUGUESE,3814,9216834
LE BOREAL,LE,CRUISE,202362,142,20,4,10944,3427,MATA-UTU,01/01/2004 00:00,FRENCH,1441,9502506
LE COMMANDANT CHARCOT,COMMANDANT CHARCOT,CRUISE,202362,149.9,,,30956,,,,,,
LE DUMONT D'URVILLE,LE DUMONT,CRUISE,202362,131,18,99,9900,,,,,,9814052
LE SOLEAL,LES,CRUISE,202362,142.1,20,4,10992,3440,MATA-UTU,06/12/2012 00:00,FRENCH,1441,9641675
LEANDER G,LEA,MISCELLANEOUS,20246,75,13,4,1930,579,HAMILTON,01/12/1992 00:00,BERMADU,0,1002445
LEISURE SCENE,LEIS,FERRY,20184,31,,,259,103,SOUTHAMPTON,,BRITISH,,
LENNEBORG,LENN,FREIGHTER,635040,108.17,18.47,7.01,5598,2883,DELFZIJL,12/03/2008 00:00,NETHERLANDS,8112,9421075
LIAMARE,LIA,FREIGHTER,507300,107,15.3,6.2,4112,2267,MAARTENSDIJK,,NETHERLANDS,5842,
LILBO,LILB,FREIGHTER,507300,82.5,12.6,5.28,2190,1051,SAINT JOHNS,01/01/1989 00:00,ANTIGUA & BARBUDA,3292,8818623
LINDAUNIS,LIN,FREIGHTER,28813,151.72,23.4,8,10585,5372,MONROVIA,,LIBERIA,12850,9483334
LINTAN,LINTA,FREIGHTER,563504,180.03,30.32,10.7,24785,13033,HONG KONG,01/01/2015 00:00,,39641,9715206
LISA,LIS,FREIGHTER,28813,137.5,21,7,7519,3570,SAINT JOHNS,06/09/2003 00:00,,8645,9287704
LISA D,LISD,FREIGHTER,563504,73.72,11.71,3.65,1162,585,ST JOHNS,27/01/1984 00:00,ANTIGUA & BARBUDA,1685,8205187
LISTERVIK,LIST,FREIGHTER,507300,89.96,13.6,5.71,2863,1394,TORSHAVN,,FAROE ISLANDS,3904,9136216
LOMBOK STRAIT,LOMBOK ST,FREIGHTER,28813,167,25,9,14413,7536,VALLETTA,01/01/2002 00:00,MALTESE,15917,9204958
LORD NELSON,LOR,MISCELLANEOUS,343839,52.2,8,4,368,110,SOUTHAMTON,,UK,0,1002495
LOUIS AURA,LOU,CRUISE,202362,160.11,22,6,15781,6919,VALLETA,01/05/1968 00:00,,2516,6821080
LS ANNE,LSA,MISCELLANEOUS,202362,105.5,17,6,3992,1819,GIBALTAR,01/08/2008 00:00,GIBRALTAR,5757,9418925
LUZON STRAIT,LUZON ST,FREIGHTER,28813,167,25,8,13700,4230,MONROVIA,01/01/2002 00:00,LIBERIA,11120,9204960
M/T PAXOI,MTP,FUEL BARGE,202362,102.7,17,6,4599,1958,MONROVIA,06/04/2009 00:00,,0,9382190
M/Y A,MYA,MISCELLANEOUS,20246,119,18,5,5959,1787,HAMILTON,01/01/2008 00:00,,1126,1009340
M/Y SCOUT,SCOUT,MISCELLANEOUS,78322,64,,3.3,1416,,,,,,
MAASHOLM,MAA,FREIGHTER,28813,151.72,23.4,8,10585,5372,MONROVIA,,LIBERIA,12850,9483346
MAERSK AHRAM,MAHR,FREIGHTER,28813,155,25,9,14557,7661,ALEXANDRIA,,EGYPT,17728,9164225
MAERSK BERWICK,MBER,FREIGHTER,28813,210,30,11,27093,12686,MAJURO,15/01/2002 00:00,,34622,9236638
MAERSK NEWBURY,MRSK NEWB,FREIGHTER,28813,210,30,11,26528,12715,SINGAPORE,,,34662,9231470
MAERSK NEWCASTLE,MNCAS,FREIGHTER,28813,210,30,11,26626,12,SINGAPORE,01/02/2001 00:00,DENMARK,34627,9215878
MAERSK NEWHAVEN,MRSK NHAV,FREIGHTER,28813,210.07,30,11,26718,12715,SINGAPORE,01/04/2001 00:00,DENMARK,34677,9215880
MAERSK NIAGARA,MRSK NIAG,FREIGHTER,28813,210.1,30.23,11.5,26.84,12.74,,,,33.43,
MAERSK NIAMEY,MRSK NIMY,FREIGHTER,28813,210.09,30.23,11.5,26836,12743,HONG KONG,,CHINA,33413,
MAERSK NIENBURG,MRSKNIENB,FREIGHTER,28813,210,30.23,11.5,26.84,,,,,33.46,
MAERSK NIJMEGEN,MRSK NIJM,FREIGHTER,28813,210.1,30,11,26836,12743,HONG KONG,22/05/2009 00:00,CHINA,3345,9434929
MAERSK NIMES,NIM,FREIGHTER,28813,210.09,30.23,11.5,26836,12743,HONG KONG,04/09/2009 00:00,,33447,9434931
MAERSK NITEROI,MRSK NITE,FREIGHTER,28813,210.09,30.23,11.5,26836,12743,HONG KONG,,CHINA,33411,
MAERSK NORTHAMPTON,MAENORTH,FREIGHTER,28813,210,30,11,26718,12715,SINGAPORE,25/09/2001 00:00,DANISH,34677,9215919
MAERSK NORTHWOOD,MNWOOD,FREIGHTER,28813,210,30,11,26582,12715,SINGAPORE,27/05/2006 00:00,,34627,9222118
MAERSK NORWICH,MNWICH,FREIGHTER,28813,210,30,11,26671,12679,SINGAPORE,27/05/2006 00:00,,34396,9301926
MAERSK NOTTINGHAM,MNOTT,FREIGHTER,28813,210,30,11,26833,12743,MONROVIA,,LIBERIA,34300,9275050
MAERSK SERVICE,MAERSK SERVICE,FREIGHTER,28813,99,,,99,,,,,,
MAERSK VISTULA,MVIST,FREIGHTER,28813,200,35,11,34882,16947,COPENHAGEN,,DENMARK,40000,9775737
MAGDALENA,MAGD,FREIGHTER,507300,88.29,13.2,5.46,2371,1434,,,ANTIGUA & BARBUDA,4247,8822600
MAGELLAN,MAG,CRUISE,20162,221.57,28,7,46052,24545,NASSAU,01/06/1985 00:00,,7186,8217881
MAIDEN CASTLE,MACA,TUG,1379997,30.52,10,4.1,314,94,PORTLAND,10/12/1992 00:00,UNITED KINGDOM,166,9054353
MAJESTY OF THE SEAS,MOTS,CRUISE,20162,268,,,73941,,,,,,
MANU PEKKA,MPEK,DREDGER,20193,47.93,15,15,0,680,,,,3,212701000
MARCO POLO,MPOLO,CRUISE,20162,176.28,23,8,22080,9081,NASSAU,01/01/1965 00:00,NORWEGIAN,5180,6417097
MARCUS,MARC,FREIGHTER,20162,87.9,12.8,5.45,2461,1369,ANTWERP,01/06/2021 00:00,,3712,9313656
MARELLA CELEBRATION,MARELLA,CRUISE,110214,215,27.26,7.7,33933,16050,VALLETTA,01/01/1984 00:00,MALTA,4243,8027298
MARELLA EXPLORER,MAREXP,CRUISE,110214,262,,,76998,,VALLETTA,,,,9106297
MARELLA EXPLORER 2,MAREXP2,CRUISE,110214,248,32.23,7.82,71545,,VALLETTA,01/01/1995 00:00,MALTA,,9072446
MARELLA TENDER,MAT,MISCELLANEOUS,110214,21,,,18,,,,,,
MARFET NIOLON,MARFET NIOLON,FERRY,20162,123,19,,7395,,,,LUXEMBORG,5282,8912388
MARIANNE,MAR,FREIGHTER,28813,210.07,30,11,26718,12715,SINGAPORE,01/07/2001 00:00,DENMARK,34723,9215907
MARIETJE HESTER,MARHE,FREIGHTER,507300,82.5,12.5,5.45,2409,993,DELFZIJL,01/04/2005 00:00,NETHERLANDS,3200,9279032
MARINA,MARINA,CRUISE,20162,238,,7.6,66084,28485,MAJURO,01/04/2010 00:00,MARSHALL ISLANDS,8676,9438066
,,,,,,,,,,,,,
MARKEB,MKEB,MISCELLANEOUS,202362,72,13,4,1594,478,PANAMA,,,1167,7424724
MARKSMAN,MARKSMAN,TUG,566408,24.5,11.3,3.5,268,80,,,,150,
MARTEN,MARTEN,FREIGHTER,507300,89.86,,5.65,2589,,LIMASSOL,01/05/2012 00:00,CYPRUS,3801,9617337
MAX WINNER,MWIN,FREIGHTER,28813,161.3,25,0,16162,0,MALTA,,MALTA,17350,9396610
MEIN SCHIFF 3,MS3,CRUISE,20162,294,35.8,8.25,99700,63078,VALLETTA,01/05/2014 00:00,MALTA,7900,9641730
MELLINA,MELL,FREIGHTER,1861492,94.4,16.95,6,3442,1032,ANTWERP,01/02/2023 00:00,BELGIUM,5150,9260689
MERCS JAFFNA,MJAF,FREIGHTER,28813,160.84,25,9,15636,6715,COLOMOBO,01/11/2010 00:00,SRI LAKA,16908,9431331
MERI,MER,FREIGHTER,563504,105.4,18.8,4,3360,,FINLAND,,,4835,9622502
MIDAS ,MID,FERRY,163081,108.52,17.47,5.97,5873,,BRANDO,,FINLAND ,,
MILA,MILA,FREIGHTER,507300,89.99,12.58,5.43,2528,,ALKMAAR,,NETHERLANDS ,,9331335
MIMMI SCHULTE,MIMMI S,FREIGHTER,28813,188.85,30,10,27279,10008,SINGAPORE,01/08/2017 00:00,SINGAPORE,30205,9743473
MINERVA,MINERVA,FREIGHTER,20162,188.79,30.475,10.5,27.279,10.02,SINGAPORE,01/01/2015 00:00,SINGAPORE,30.08,9694426
MIRIAM,MIR,FREIGHTER,20162,140.59,21.8,7.34,7852,3285,ST JOHNS,03/04/2008 00:00,,9300,9436202
MITO,MIT,FREIGHTER,644009,147.8,23.25,8.5,9910,5032,SAINT JOHNS,,ANTIGUA & BARBUDA,13760,
MITSUI OCEAN FUJI,MITSUI OCEAN FUJI,CRUISE,644009,198,,,32477,,,,,,
MN TOUCAN,MNTO,FERRY,163081,116.07,20,5,9125,2737,MARSEILLE,28/07/1995 00:00,FRENCH,4253,9112466
MOGAMBO,MOG,MISCELLANEOUS,CASH,73.42,12,3,1682,509,GEORGE TOWN,,,0,9560780
MONJASA PROMOTER ,MONPRO,FUEL BARGE,20162,83.4,12.94,5.65,2143,967,MONTOVIA,20/06/2008 00:00,,3600,9341421
MONJASA PROVIDER,MONJ,FUEL BARGE,20162,95.82,14,6,2889,1384,VALLETTA,07/05/2005 00:00,NORWEGIAN,4279,9327281
MONT ST MICHEL,MSM,FERRY,20212,173.15,28,6,34800,36000,CAEN,01/01/2002 00:00,FRANCE,7500,9238337
MOSELDIJK,MOS,FREIGHTER,507300,89.95,14.4,6.21,2967,1601,GRONINGEN,01/06/2010 00:00,NETHERLANDS,4927,9377913
MOVEMENT RESTRICTION,XXXXX,MISCELLANEOUS,507300,99,,,1234,,,,,,
MOVEMENT RESTRICTION1,XXXXXX,MISCELLANEOUS,507300,1,,,999,,,,,,
MPR3,MPR,MISC BARGE,202362,31.9,11,2,312,93,ROTTERDAM,01/11/2010 00:00,NETHERLANDS,,9611539
MTS INDUS,MIND,TUG,506212,25.26,6,3,97,0,,,UK,0,8884830
MTS VALOUR,MVAL,TUG,COMDCK,23,0,0,999,0,,,,0,9407299
MTS VIGILANT,MVIG,TUG,28813,30.08,9,3,309,92,KINGSTOWN,01/04/2009 00:00,UK,184,9533969
MTS VISCOUNT,MVIS,TUG,20195,35.01,10,4,369,110,NETHERLANDS,,,318,7610012
MUSKETIER,MUSKETIER,FREIGHTER,248689,88.6,12.52,4.7,2545,,GIBRALTAR,,UNITED KINGDOM,3850,9369514
MV ISARTAL,MV ISARTAL,FREIGHTER,507300,87.82,,5.59,2461,1369,MADEIRA,01/01/2005 00:00,PORTUGAL,3711,9313670
MY AVANTI,AVA,MISCELLANEOUS,78322,74,12,3.8,1790,,MAJURO,,MARSHALL ISLAND,,9860764
MY GAMECHANGER,MYG,CRUISE,CASH,69.15,11.48,3.35,1371,411,BIKINI,,MARSHALL ISLANDS,501,
MY GOLDEN ODYSSEY,MYGO,MISCELLANEOUS,78322,124,20,4.8,7690,,BERMUDA,,,700,9648788
MY MARIA,MYMAR,MISCELLANEOUS,20246,67,10,3,1200,360,JALUIT,27/01/2005 00:00,,0,1008774
MY MUSASHI,MMUS,MISCELLANEOUS,20246,87.78,13,4,2463,738,GEORGE TOWN,,NETHERLANDS,99,1010131
MY SONG,MSON,MISCELLANEOUS,CASH,40,8,5,99,99,,,UK,99,
NAB HOPPER BARGE,NHB,MISCELLANEOUS,575968,43.25,9,2,292,87,POOLE,01/04/1978 00:00,UK,525,895196
NARRATIVE,NARRATIVE,CRUISE,575968,226,,,55000,,,,,,
NAXOS,NAX,FUEL BARGE,202362,90.22,15,6,3220,1327,MONROVIA,,LIBERIA,4626,9371335
NEDERLAND REEFER,NED REEF,FREIGHTER,28813,158.13,24,10,13049,5353,NASSAU,01/01/1991 00:00,BAHAMAS,13958,9015199
NEEDLES,NEE,MISC BARGE,575968,43.97,8,2,292,87,POOLE,01/01/1979 00:00,UK,525,8995201
NEW HAMPSHIRE,NHAP,MISCELLANEOUS,CASH,59.5,11,5,1011,303,DOUGLAS ISLE,01/06/2016 00:00,ISLE OF MAN,204,108554
NEWTON,NEW,FREIGHTER,563504,74.93,10.6,3.37,1307,413,SAINT JOHNS,,ANTIGUA & BARBUDA,1529,
NG ENDURANCE,NG ENDURANCE,CRUISE,20162,124,,,12786,,,,,,
NG EXPLORER,NGEX,CRUISE,20162,112,16,8,6471,1942,NASSAU,22/05/1982 00:00,BAHAMAS,774,8019356
NG ORION,NGOR,CRUISE,20162,102.7,14,4,3984,1240,NASSAU,01/05/2003 00:00,BAHAMAS,668,9273076
NGONI,NGO,MISCELLANEOUS,CASH,58,9.54,5.3,396,,JERSEY,21/05/2020 00:00,JERSEY,1024,1013042
NICO,NICO,MISCELLANEOUS,177364,38.82,9,1,417,132,KLINTEBJERG,01/04/2007 00:00,DENMARK,0,8916853
NINA,NINA,FREIGHTER,507300,104.55,13.6,6.18,3289,1879,LIMASSOL,01/01/2003 00:00,CYPRUS,5751,9277278
NOBLEMAN,NOB,TUG,934842,24.39,9.15,5.1,145,0,HULL,,UNITED KINGDOM,83,9655901
NOORDDIJK,NOOD,FREIGHTER,563504,122.2,19.8,7.2,7580,3050,GRONINGEN,01/02/2020 00:00,,9214,9591820
NORA B,NORA B,TUG,28813,36,15,99,1,,,,NETHERLANDS,,9851270
NORDANA EMILIE,NORE,FREIGHTER,423437,138.19,21,8,9611,4260,ST JOHNS,01/01/2005 00:00,GERMAN,12714,9312169
NORDIC,NORDIC,FREIGHTER,563504,92.2,15,5,2989,896,URK,01/04/2013 00:00,NETHERLANDS,,9663001
NORDIC HAMBURG,NHA,FREIGHTER,28813,151.72,23,8,10585,5327,LIMASSOL,01/05/2010 00:00,GERMAN,13000,9514755
NORDIC LUEBECK,NOR,FREIGHTER,28813,151.72,23.4,8,10318,5391,MONROVIA,23/02/2011 00:00,,13200,9483683
NORMA D,NORD,DREDGER,20193,27,9,1,88,33,,,,0,232003935
NORMAN ASTURIAS,NORA,FERRY,90308,186.62,25,6,27414,8,BARI,,ITALY,7,
NORMAND PACIFIC,NORP,MISCELLANEOUS,20162,122.4,23,7.3,9778,2934,SKUDENESHAVN,,NORWAY,6700,9491977
NORMANDIE,ND,FERRY,20212,161.4,26,5,27541,16833,CAEN,15/05/1992 00:00,FRENCH,0,9006253
NORMANDIE EXPRESS,NEX,WAVE PIERCING CRAFT,20212,97.22,26,3,6581,2514,,,,750,9221358
NORWEGIAN STAR,NORWEGIAN STAR,CRUISE,20162,294,,,91740,,,,,,
NOVA K,NOV,TUG,20162,31.8,11,2,288,0,,,,0,9352365
OCEAN ADVENTURER,OADV,CRUISE,20162,100.01,16,4,4617,1443,NASSAU,19/04/1975 00:00,,1465,7391422
OCEAN ALBATROS,OCEANALBATROS,CRUISE,64766,104.4,21.227,5.3,8500,2368,NASSAU,01/03/2023 00:00,BAHAMAS,1613,9880661
OCEAN DIAMOND,OCEANDMND,CRUISE,20162,124,16,4.9,8282,,,,,,
OCEAN DIAMOND ZODIAC,ODZ,MISCELLANEOUS,20162,2,,,0,,,,,,
OCEAN DRAGON,ODRAG,MISCELLANEOUS,496227,25.5,7,2,148,0,,,,0,
OCEAN MAJESTY,OMAJ,CRUISE,423437,130.64,19,5,10417,4189,MADEIRA,,PORTUGAL,1031,6602898
OCEAN NOVA,ONOV,CRUISE,461744,72.8,11,7,2183,786,NASAU,,BAHAMAS,163,8913916
OCEAN ODYSSEY,OCEAN ODYSSEY,CRUISE,20162,104.4,,,0,,,,,,
OCEAN PROMISE,OPRO,FREIGHTER,28813,210.07,30,11,26718,12715,LONDON,03/03/2001 00:00,UK,34677,9215892
OCEAN SCENE,OCE,FERRY,20184,29.99,,,180,,SOUTHAMPTON,,BRITISH,,8633865
OCEANIC,OCNC,FREIGHTER,563504,92.2,15,4.9,2989,896,URK,,NETHERLANDS,3000,9624550
ONEGO BAYOU,ONE,FREIGHTER,563504,145.63,18.29,7.35,7,3,ANTIGUA AND BARMUDA,,,,9369069
ONEGO ELBE,ONEELB,FREIGHTER,20195,145.63,18.29,7.4,7878,3909,SAINT JOHNS,01/01/2008 00:00,ANTIGUA & BARBUDA,11083,9438573
OPAL,OPLA,TUG,20162,59.25,14,4,1678,503,VALLETTA,01/01/2009 00:00,,1337,9489479
OPDR CADIZ,OCAD,FREIGHTER,28813,127.94,20,7,7360,3085,MADEIRA,16/05/2002 00:00,`PORTUGESE,3822,9216858
OPDR TENERIFE,OTEN,FREIGHTER,28813,127.95,0,7,7360,3085,LIMASSOL,01/01/2002 00:00,CYPRUS,8400,9216846
OPERA,OPE,MISCELLANEOUS,78322,146.35,20,6,12518,,GEORGE TOWN,01/02/2023 00:00,CAYMAN ISLANDS,900,1012933
ORION,ORION,FREIGHTER,644009,98.68,,5.91,2.98,1.31,SNEEK,01/01/1998 00:00,NETHERLANDS,4.85,9143415
OTTO SVERDRUP,OTTOSVER,CRUISE,64766,138.5,21.5,5.15,15690,5624,TROMSO,08/12/2015 00:00,NORWAY,945,9231951
PACHUCA,PACH,FREIGHTER,20162,139.81,19.4,7.29,6901,3575,MADEIRA,,,9235,
PACIFIC CONSTRUCTOR,PAC,FREIGHTER,202362,115.4,22,7.1,8133,2364,SINGAPORE,,SINGAPORE,6480,
PACIFIC MERMAID,PACIFIC M,FREIGHTER,28813,141.8,22.8,8.81,9.82,3.54,MONROVIA,01/01/1992 00:00,LIBERIA,10.47,9045924
PACIFIC REEFER,PREEF,FREIGHTER,423437,175.72,,9,14505,7580,MONROVIA,,LIBERIA,17322,9179268
PATRIA,PAT,FREIGHTER,507300,82.38,12.5,4.2,2210,,,,,3519,
PEAK BELFAST,PBE,FREIGHTER,563504,89.95,14,6.8,2978,,HARLINGEN,01/03/2010 00:00,NETHERLANDS,3931,9544891
PEAK BERGEN,PBER,FREIGHTER,563504,89.95,14,5.54,2978,1384,HARLINGEN,01/01/2010 00:00,NETHERLANDS,3931,9544932
PEAK BREMEN,PBREM,FREIGHTER,563504,89.95,14.1,5.8,2978,1384,HARLINGEN,01/09/2022 00:00,NETHERLANDS,,
PELICAN,PEL ,FERRY,20212,154.5,22.7,6.96,12076,3623,,,FRANCE,8847,9170999
PENGALIA,PENG,FREIGHTER,644009,129.6,20.6,7.4,7545,3165,MADEIRA,,PORTUGAL,8267,9440588
PERSEUS J,PRSJ,FREIGHTER,28813,140.38,23,8,10965,4714,LIMASSOL,02/04/2008 00:00,GERMAN,12558,9371414
PHILEMON,PMON,FREIGHTER,28813,157.69,23,8,11550,5839,SAINT JOHNS,16/03/2010 00:00,GERMAN,14483,9412517
PHOENIX,PHOEN,MISCELLANEOUS,78322,40.8,8.3,2.14,386,115,AVATIU,01/01/2021 00:00,COOK ISLANDS,75,9944510
PHRYNE,PYNE,MISCELLANEOUS,CASH,49.8,10,3,436,,,,,,
PINK GIN,PINK GIN,MISCELLANEOUS,20246,53.85,,4.5,219,,,,,,
POLAR STREAM,PSTREAM,FREIGHTER,423437,154,24,9,11417,5966,GRONINGEN,01/02/1999 00:00,NETHERLANDS,10449,9189885
POLARLIGHT,PLIGHT,FREIGHTER,423437,154,24,9,11417,5966,MONROVIA,,LIBIAN,,9189873
PONT AVEN,PA,FERRY,20212,184.3,30,6,41748,,,,FRANCE,4750,9268708
PONTOON 1,POTN1,MISCELLANEOUS,20191,55,6,1,100,,,,,,
PONTOON 2,PONT2,MISC BARGE,20191,38,10.5,1,100,,,,,,
POWER PLAY,POW,MISCELLANEOUS,20246,55.7,10.1,3.3,489,146,GEORGE TOWN,04/09/2018 00:00,,300,9781401
PREGOL HAV,PREG,FREIGHTER,507300,82.6,11.38,4.22,1616,758,SAINT JOHNS,09/02/1985 00:00,ANTIGUA & BARBUDA,2291,8519239
PRINCESS CAROLINE,PCARO,MISCELLANEOUS,821076,30,,2,10,10,,,,,8326357
PRINCESS DAPHNE,PDAP,CRUISE,202362,162.39,21,7,15833,5572,MADEIRA,01/10/2005 00:00,PORTUGAL,3610,5282627
PRISCILLA,PRIS,FREIGHTER,507300,88.97,11.8,5,2281,1229,ROTTERDAM,,NETHERLANDS,3250,9411745
PULLMOOR,PULL,TUG,COMDCK,26.83,7.22,3.65,133,,LONDON,01/01/1984 00:00,UNITEDKINGDOM,78,8314574
QUEEN ESTER,QUEST,MISCELLANEOUS,426653,49.16,6,2,191,76,,,,,
RDJ JOHANNA,RDJ JOHANNA,FREIGHTER,507300,82.5,12.4,5.3,2.31,1.31,ROTTERDAM,01/01/2001 00:00,NETHERLANDS,3.15,9195418
RED JET 7,RED JET 7,FERRY,523658,40.88,10.87,1.31,353,124,UNITED KINGDOM,,BRITISH,31.46,9838321
REEF CHIEF,REEF,MISCELLANEOUS,78322,49.86,8,2,476,142,GEORGE TOWN,01/01/2008 00:00,AMERICAN,130,9537458
REGAL BAY,REG,FREIGHTER,28813,151,22.5,8.2,10375,,,,,10520,311907000
RENAISSANCE,RENAISSAN,CRUISE,20162,219,30.832,7.72,55575,26172,HAMILTON,01/09/2020 00:00,BERMUDA,7406,8919257
RESILIENT LADY,RESILIENT,CRUISE,20162,278,,,110000,,,,,,
REVELRY,REVELRY,MISCELLANEOUS,78322,52.3,9.4,3.15,672,201,BLOODY BAY,01/01/2012 00:00,CAYMAN ISLANDS,,1011111
REYNAERT,RNRT,DREDGER,20193,97.5,21,,5005,,FLUSHING,,NETHERLANDS,8327,9360726
RFA MOUNTS BAY ,RFAMBAY,MISCELLANEOUS,COMDCK,176.6,32.2,5.1,23569,,LONDON,,UNITED KINGDOM ,,9240770
RICHELIEU,RICH,FREIGHTER,507300,88.6,12.52,5.42,2545,1460,GIBRALTAR,01/03/2007 00:00,GIBRALTAR,3850,9369526
RIG,RIG,FREIGHTER,507300,87,13,5.07,2351,1149,MALTA,,,3200,8801137
RIGI VENTURE,RIGI VENT,MISCELLANEOUS,563504,199,32,9.7,36336,,HONG KONG ,10/01/2022 00:00,HONG KONG,63500,9693197
RIO THELON,RTHEL,FREIGHTER,28813,210.06,30,11,26833,12743,MONROVIA,19/04/2004 00:00,LIBERIA,31314,9283708
RIVERMAN,RIV,TUG,566408,24.39,9.15,4.42,196,136,HULL,01/05/2022 00:00,UK,113,9513165
RIVIERA,RIVIERA,CRUISE,20162,239,32.18,7.6,66084,29187,MAJURO,01/04/2012 00:00,MARSHALL ISLANDS,7662,9438078
RIX ATLANTIC,RIXA,FREIGHTER,563504,87.95,12.39,5.6,2451,1294,LIMASSOL,,CYPRUS,3793,9194270
RIX BAY,RIXBAY,FREIGHTER,507300,90.12,50.2,5.64,2993,1593,LIMASSOL,01/06/2020 00:00,,4279,9017410
RIX EMERALD,RIX,FREIGHTER,563504,84.96,11.35,4.95,2061,1161,LIMASSOL,01/01/1995 00:00,CYPRUS,3001,9116802
RIX GULF,RIXG,FREIGHTER,563504,92,15,6.59,2982,1866,MADEIRA,01/01/2008 00:00,PORTUGAL,5400,9396701
RIX MISTRAL,RIM,FREIGHTER,507300,87.97,12.8,5498,2446,1369,LIMASSOL,30/01/1997 00:00,CYPRUS,3747,9173513
RIX PARTNER,RIXP,FREIGHTER,563504,87.98,12.95,5.49,2446,1369,MADEIRA,,PORTUGAL,3723,
RIX RIVER,RIXRI,FREIGHTER,563504,87.78,12.8,5.5,2.45,1.37,LIMASSOL,01/01/2018 00:00,CYPRUS,3.7,9065984
RIX RUBY,RIXRUBY,FREIGHTER,563504,91.46,,5.8,2.82,1.54,LIMASSOL,,CYPRUS,4.22,9114701
RIX WARRIOR,RIXWA,FREIGHTER,20162,89.4,13.6,5.72,2482,1538,LIMASSOL,01/11/2022 00:00,CYPRUS,4123,9129134
RMS DUISBURG,RDUIS,FREIGHTER,28813,99.9,11,3,2042,612,ST JOHNS,,ANTIGUA & BARBUDA,,9194309
RMS NEUDORF,RNEUD,FREIGHTER,28813,82.5,12,6,1985,969,SAINT JOHN,01/01/1999 00:00,ANTIGUA,2620,8920256
RMS VERITAS,RMSV,FREIGHTER,644009,99.26,16.44,4.9,2899,1390,SAINT JOHNS,,ANTIGUA & BARBUDA,3931,
RMS WANHEIM ,RMSWAN,FREIGHTER,20162,82.51,12.5,4.46,1985,,MONROVIA ,01/03/2016 00:00,LIBERIA ,,8920268
ROALD AMUNDSEN,ROALD,CRUISE,20162,140,,,40000,,,,,,
ROALD-AMUNDSEN,ROA,MISCELLANEOUS,20162,49,7,4.2,252,,GERMANY,,,480,8994489
ROCKET RACOON,ROCK,FREIGHTER,563504,87.98,13.03,5.17,2642,1161,SAINT JOHN'S,03/07/1987 00:00,ANTIGUA & BARBUDA,3531,8707783
ROMAN,ROM,TUG,566408,27,9.1,,148,,,,,,
ROMI,ROI,FREIGHTER,507300,88.25,13.2,4.46,2373,1434,NASSAU,01/06/2005 00:00,BAHAMAS,4220,8922266
RORO4,ROR4,MISCELLANEOUS,496007,90,22,1,1,,,,,,
RORO5,ROR5,MISCELLANEOUS,496007,69,15,1,1,,,,,,
ROYAL KLIPPER,ROYALKLIP,FREIGHTER,28813,155,24,10,11382,6408,SCHEVENINGEN,02/07/2000 00:00,LIBERIA,12906,9172959
RR TRIUMPH,RRTPH,FERRY,163081,122.32,19,6,7606,2282,VALLETTA,01/10/1997 00:00,MALTA,5758,9119397
RUHRTAL,RTAL,FREIGHTER,507300,87.98,12.8,5.51,2461,1369,MADEIRA,02/05/2005 00:00,PORTUGAL,3707,9313682
RUM JUNGLE,RJUN,MISCELLANEOUS,20245,22.8,5,2,50,38,,,,,235014165
RUTH,RUTH,FREIGHTER,28813,134.44,22,99,9981,6606,LIMASSOL,01/10/2006 00:00,CYPRUS,11253,9376036
SAGA PEARL 2,SPII,CRUISE,146961,164.35,22,6,18627,6267,VALLETTA,,MALTA,2952,8000214
SAGA RUBY,SRUB,CRUISE,20162,191.09,25,8,24492,9356,VALLETTA,,MALTA,5954,7214715
SAGA SAPPHIRE,SSAP,CRUISE,20162,199.63,28,8,37049,13555,VALLETTA,22/12/1980 00:00,MALTA,5168,7822457
SAGA WIND,SAWD,FREIGHTER,28813,199.2,30.57,11.82,29381,14155,HONKG KONG,01/11/1994 00:00,CHINA,47053,9074078
SAIL,SAIL,FREIGHTER,507300,91.46,13.6,6,2818,,ST JOHNS,,ANTIGUA BARBUDA,4222,9114713
SAIMAAGRACHT,SGRACHT,FREIGHTER,20246,185,26,7,18321,7647,ROTTERDAM,01/01/2005 00:00,NETHERLANDS,23660,9288069
SAINT-MALO,SAINT-MALO,FERRY,20212,194.7,,,40000,,,,,,
SALAMANCA,SAL,FERRY,20212,215,,,42000,,,,,,
SALAR,SALR,FREIGHTER,507300,82.73,13,5.08,2351,1206,HAMBURG,28/11/1988 00:00,,3432,8801125
