Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date,Nationality,Dead Weight,LRN
BALMORAL,BALMORAL,CRUISE,20162,218.91,,,43537,,NASSAU,,BAHAMAS,,8506294
BALMORAL (SS),BAL,STEAMBOAT,516508,62,9,3,734,309,BRISTOL,,BRITISH,,5034927
BALTIC,TIC,FREIGHTER,202362,92.2,15,4,2957,,,01/01/2017 00:00,NETHERLANDS,3264,9763784
BALTIC HEATHER,BALH,FREIGHTER,20195,149,22,8,9859,5124,MONROVIA,11/03/1998 00:00,LIBERIA,10114,9181144
BALTIC KLIPPER,BALTCKLIP,FREIGHTER,28813,165,25,10,14091,7238,MONROVIA,01/01/2010 00:00,LIBERIAN,156609,9454759
BALTIC LORD,BALO,FREIGHTER,28813,155.2,23.4,9.5,11443,6336,ST VINCENT & THE GRENADINES,,,12912,9160274
BALTIC MERCURY,BALM,FREIGHTER,20195,145.5,22,9,10298,4653,KINGSTOWN,01/10/2012 00:00,ST VINCENT,11067,8616312
BALTIC PERFORMER,BALP,FREIGHTER,20195,150.01,22,9,10381,5253,MONROVIA,,LIBERIA,10603,9016674
BALTIC PILGRIM,BPIL,FREIGHTER,20195,150.01,22,9,10381,5253,MONROVIA,,LIBERIA,10621,9016662
BALTIC PIONEER,BPIO,FREIGHTER,20195,150.01,22,9,10374,5253,MONROVIA,01/11/2013 00:00,LIBERIA,10532,9070137
BALTIC SPIRIT,BALSP,FREIGHTER,28813,188.6,26,9.72,17421,8092,NASSAU,01/11/2018 00:00,BAHAMAS,16580,9765873
BALTIC SPRING,BALS,FREIGHTER,20195,156.89,23,9,10842,6381,MONROVIA,,LIBERIA,12942,8909070
BALTIC SUMMER,BSUM   ,FREIGHTER,20195,156.88,23,9,10842,6381,MONROVIA,01/09/2013 00:00,LIBERIA,12942,8802090
BARFLEUR,BARF,FERRY,20212,157.65,23,8,20133,0,CHERBOURG,,FRENCE,0,9007130
BARGE,BAR,MISCELLANEOUS,COMDCK,25,9,,30,,,,,,
BARRINGTON ISLAND,BARRI,FREIGHTER,28813,178.5,25.24,9.2,14061,6900,NASSAU,01/09/1993 00:00,BAHAMAS,14140,9059614
BAVENIT,BAV,DREDGER,202362,88.17,17,5,3575,1073,MURMANSK,,RUSSIA,2289,8406573
BAY PHOENIX,BAYP,FREIGHTER,28813,134.02,20,7,7326,4810,MONROVIA,18/06/1993 00:00,,8041,9047271
BBC ALBERTA,BBCAL,FREIGHTER,563504,138,21,8,9611,4260,MONROVIA,,LIBERIA,12655,
BBC BAHRAIN,BBCB,FREIGHTER,563504,128.45,16,7,6309,2841,SAINT JOHN'S,01/01/2012 00:00,GERMAN,7967,9578751
BBC BELEM,BBCBEL,FREIGHTER,563504,128.97,16,7,6310,2841,ST JOHNS,11/09/2010 00:00,GERMAN,8129,9501655
BBC BERGEN,BBCBER,FREIGHTER,563504,128.45,16,7,6310,,SAINT JOHN'S,,ANTIGUA & BARBUDA,8000,9437153
BBC EAGLE,BBC EAGLE,FREIGHTER,563504,139,20,7.72,8750,,SAINT JOHNS,01/01/2008 00:00,ANTIGUA BARBUDA,10340,9407574
BBC EDGE,BBC EDGE,FREIGHTER,563504,139.03,,7.7,8.75,,,,,10.38,
BBC KANSAS,BBCKAN,FREIGHTER,202362,138.02,21,8,9611,4260,SAINT JOHNS,01/06/2006 00:00,GERMAN,12730,9349291
BBC LISBON,BBC LIS,FREIGHTER,563504,130.18,,7,7.14,2.27,ANTIGUA AND BARBUDA,01/01/2011 00:00,,7.84,9513634
BBC LIVORNO,BBCLIVORN,FREIGHTER,563504,130.22,16,7,7138,3412,"ST JOHNS, ANTIGUA AND BARBUDA",01/06/2012 00:00,ANTIGUAN,7933,9570670
BEAUMARE,MARE,FREIGHTER,20162,88.6,12520,5.4,2545,1460,ROTTERDAM,01/02/2016 00:00,NETHERLANDS,3850,9401245
BELLA VITA,BELA,MISCELLANEOUS,78322,60,11.41,3.5,1218,365,GEORGE TOWN ,01/07/2010 00:00,CAYMAN ISLANDS,189,1010337
BELLINGSHAUSEN,BELL,FREIGHTER,507300,87.98,12.8,5.51,2452,1369,ST JOHNS,01/01/2003 00:00,ANTIGUA & BARBUDA,3672,9197399
BENGUELA STREAM,BEN,FREIGHTER,28813,150,22,9,9298,4998,GRONINGEN,,NETHERLANDS,11016,9158549
BERLIN,BER,CRUISE,20162,139.3,17,4,9570,3542,VALLETA,01/12/1980 00:00,,1796,7904889
BERTH RESERVED,RESERVED,MISCELLANEOUS,20162,1,,,1,,,,,,
BF FORTALEZA,BFFO,FREIGHTER,644009,121.85,18.45,6.68,6362,3998,LIMASSOL,06/08/1996 00:00,CYPRUS,7202,9130432
BG IRELAND,BG IRE,FREIGHTER,20162,139.6,22.39,7.36,8.246,4,LIMASSOL,01/01/2007 00:00,CYPRUS,11.18,9355446
BIG EAGLE,BIG,MISCELLANEOUS,CASH,52,9,3,339,119,KINGSTON,20/06/1980 00:00,USE,0,7916430
BIG RON,BRON,MISC BARGE,29368,20,9,1.5,135,75,LONDON,01/03/2020 00:00,UNITED KINGDOM,,8891053
BIRGIT,BIRG,FREIGHTER,507300,116.08,15.9,6.39,4723,2493,SAINT JOHNS,01/01/2008 00:00,ANTIGUA & BARBUDA,7560,9433341
BIRGIT G,BRGG,FREIGHTER,507300,88.6,12.69,5.41,2545,1460,SAINT JOHNS,01/01/2010 00:00,ANTIGUA & BARBUDA,3850,9536064
BKM103,BKM,DREDGER,20193,26.5,11,2,182,0,,,,226,9190341
BLACK WATCH,BLA,CRUISE,20162,205.47,25,7,28163,11854,NASSAU,01/01/1972 00:00,BAHAMAS,5656,8000293
BLADE RUNNER 2,BRUN2,FREIGHTER,57668,75,0,0,999,999,UK,,,0,9287754
BOA NJORD,BOA,TUG,184979,32,11,5,490,147,VALLETTA,01/01/2009 00:00,,0,9551911
BOLDWIND,BOLDWIND,FREIGHTER,563504,148.45,28.042,5.6,8604,2582,MADEIRA,01/05/2020 00:00,PORTUGAL,10,9870018
BOLETTE,BOL,CRUISE,563504,237,32.28,8.12,62735,31639,NASSAU,01/01/2000 00:00,BAHAMAS,7327,9188037
BOMAR CAEN,BOM,FREIGHTER,28813,210.06,30,11,26836,12743,MADEIRA,17/10/2004 00:00,PORTUGAL (MAR),34289,9301433
BOREALIS,BOREALIS,CRUISE,20162,237.7,,,61849,,BAHAMAS,01/01/1997 00:00,,,9122552
BORNHOLM,ORN,FREIGHTER,563504,87.95,11,4.2,1945,1039,LATVIA,16/04/2006 00:00,GERMANY,2443,9350460
BORROWDALE H,BOR,FUEL BARGE,20104,50.6,6,3,356,170,HULL,01/01/1972 00:00,UK,0,7228479
